Character,MBTI,Enneagram,Instinctual_Variant,Tritype,Socionics,Big_5,Attitudinal_Psyche,Temperament,Classic_Jungian
Shouko Nishimiya,ESFJ,9w1,so/sx,926,EII,RCOAN,FELV,P,EF(S)
Chuuya Nakahara,ESTP,8w7,so/sx,864,SEE,SLUEN,VFEL,C,ES(F)
Erwin Smith,ENTJ,1w2,so/sp,153,LIE,SCOEI,VLEF,CM,ET(N)
Rei Ayanami,ISTJ,9w1,sx/so,954,ILI,RCOAN,LFEV,P,IS(F)
Sakura Haruno,ESFJ,2w1,sx/sp,261,ESE,SLOAN,EVFL,C,ET(S)
Yato,ENTP,3w4,so/sx,379,ILE,SLUAN,VEFL,SM,EN(T)
Langa Hasegawa,ISTJ,9w1,sp/sx,954,SLI,RCUAI,FLVE,P,IS(T)
Asa Mitaka,INTP,5w4,sx/sp,514,ILI,RLOEI,LEFV,MP,IN(F)
Johan Liebert,INFJ,4w5,sx/so,451,IEI,RCOEI,LEVF,PM,IN(F)
Norman,INFJ,1w2,so/sp,152,LII,RCOAI,LEVF,PM,IT(N)
Homura Akemi,INTJ,5w4,sx/sp,541,IEI,RLOEI,LEVF,M,IN(F)
Hinata Shoyo,ESFP,7w8,sx/so,738,SEE,SLUAI,VEFL,S,ES(F)
Atsushi Nakajima,INFP,6w7,sp/so,649,EII,RLUAI,ELVF,MP,IF(N)
Haruhi Fujioka,ISTJ,9w1,sp/so,954,SLI,RCOEN,FLEV,PM,IS(T)
Ryo Asuka,ENTJ,8w9,sx/sp,835,EIE,RCOEI,VLEF,C,ET(N)
Oikawa Tooru,ENFJ,3w4,so/sp,317,EIE,SLOAI,VEFL,SM,EF(N)
Kaworu Nagisa,INFJ,2w1,so/sx,259,EIE,SCOAI,VELF,PS,EF(N)
Megumi Fushiguro,ISTJ,1w9,sp/sx,163,SLI,RCOEN,FVEL,M,IS(T)
Ryuk,ENTP,7w8,sp/sx,793,ILE,SCUEI,FLEV,S,EN(T)
Vegeta,ESTJ,3w4,sp/so,386,SLE,RLOEN,VFEL,C,IF(S)
Miyuki Shirogane,ENTJ,3w2,sp/so,316,LSE,SLOAI,FVLE,CP,ET(S)
Orochimaru,ENTP,5w4,sp/sx,548,ILE,RLUEI,VLEF,CS,EN(T)
Emma,ENFJ,2w1,so/sx,287,ESE,SCOAI,EVFL,S,EF(N)
Reki Kyan,ENFP,7w6,so/sx,739,IEE,SLUAI,EFVL,S,EN(F)
Zero Two,ESTP,7w8,sx/sp,784,SLE,SLUEI,VLEF,CS,ES(F)
Toji Fushiguro,ISTP,8w7,sp/sx,873,SLE,RCUEN,FLVE,CP,ES(T)
Nobara Kugisaki,ESTJ,8w7,sp/sx,873,SLE,SLOEN,FVLE,CS,ES(T)
Falco Grice,ENFJ,9w1,sx/sp,926,EII,RCOAI,FELV,MP,EF(N)
Loid Forger,INTJ,6w5,so/sp,613,LIE,RCOEN,LVFE,MC,ET(N)
Aki Hayakawa,ISTJ,1w9,sp/so,163,ESI,RCOEN,FVEL,MP,IF(S)
Power,ESFP,8w7,sx/sp,873,SEE,SLUEN,VFLE,CS,ES(F)
Kageyama Tobio,ISTJ,1w9,sx/sp,136,LSI,RLOEN,VFEL,C,ET(S)
Kenzo Tenma,INFP,1w2,sp/so,126,EII,RCOAI,EVFL,PM,IF(N)
Fyodor Dostoevsky,INTJ,1w9,so/sp,154,LIE,RCOEI,VLEF,MC,ET(N)
Griffith,ENTJ,3w4,so/sx,271,EIE,SCOEI,VELF,MC,EF(N)
Shouko Komi,INFJ,6w5,sp/so,692,EII,RLOAI,FEVL,MP,IS(F)
Giyu Tomioka,ISTJ,1w9,sp/sx,164,SLI,RCOEN,FVEL,M,IF(S)
Kyojuro Rengoku,ENFJ,1w2,so/sx,127,SEE,SCOAN,VEFL,SC,ET(S)
Douma,ENFJ,7w6,so/sx,729,EIE,SCOEI,VELF,S,EF(N)
Doppo Kunikida,ISTJ,1w2,so/sp,162,LSE,SLOAN,VFLE,C,ET(S)
Muichiro Tokito,INFP,9w8,sp/so,954,ILI,RCUEI,ELVF,P,IT(S)
Annie Leonhart,ISTP,9w8,sp/sx,964,SLI,RCUEN,FLEV,MP,IT(S)
Kaguya Shinomiya,INTJ,3w4,sx/so,521,IEI,RLOEI,LEVF,MC,IN(F)
Muzan Kibutsuji,ENTJ,8w9,sp/sx,835,LIE,RCOEI,VLFE,C,ET(N)
Ryomen Sukuna,ENTJ,8w7,sx/sp,837,SLE,SCOEI,VFLE,C,ES(T)
Kuroo Tetsurou,ENTP,7w8,so/sx,783,ILE,SCOAI,VLFE,SC,EN(T)
Aquamarine Hoshino,INTJ,5w6,sp/sx,513,ILI,RCOEI,FVEL,MP,IN(T)
Vanitas,ENTP,7w8,sp/sx,783,ILE,SLUEI,VLFE,SC,EN(T)
Hinata Hyuga,ISFJ,9w1,sx/so,926,EII,RCOAN,FELV,P,IS(F)
Nami,ESTJ,6w5,sp/so,638,LIE,SLOEI,FLVE,C,ET(N)
Sasha Braus,ESFP,7w6,sp/so,972,SEI,SCUAN,FELV,SP,ES(F)
Ymir,ISTP,8w9,sp/sx,846,SLE,RLUEN,FLVE,CM,ES(T)
Himiko Toga,ENTP,7w6,sx/sp,728,IEE,SLUEI,VEFL,S,EN(F)
Tsukishima Kei,INTJ,5w6,sp/sx,593,ILI,RCOEI,LFVE,MC,IN(T)
Edward Elric,ENTP,6w7,sx/so,682,LIE,SLUEI,VLEF,CS,EN(T)
Shouta Aizawa,ISTP,9w8,sp/sx,954,SLI,RCUEN,LVFE,M,IS(T)
Yashiro Nene,ISFP,2w3,sx/so,926,ESE,SLUAI,EFLV,PS,EF(S)
Denki Kaminari,ENTP,7w6,so/sx,739,IEE,SCUAI,EFLV,S,EN(F)
Shikamaru Nara,INTP,9w8,sp/so,954,SLI,RCUEN,FLEV,P,IS(T)
